ID,English,Bodo,Mizo,Category
0749,silent reading,मौन पाठ,thial chhiar,Actions - Learning
0750,group work,गुसुथि गोब,group work,Actions - Learning
0751,pair work,जोड़ी गोब,pair work,Actions - Learning
0752,project work,प्रकल्प गोब,project work,Actions - Learning
0753,submit,फोरायदों,thawn,Actions - Learning
0754,listen carefully,मोनो खालामगोन,ngaithla ṭha takin,Actions - Learning
0755,pay attention,सोङ फराय,thinlung dah,Actions - Learning
0756,repeat,दावगासे,tung,Actions - Learning
0757,translate,भाषान्तर,translation,Actions - Learning
0758,speak slowly,ज्वलायो फोथाय,thusawi zawi,Actions - Learning
0759,speak clearly,गोजौबार फोथाय,thusawi chiang,Actions - Learning
0760,repeat after me,आनाय फराय दावगासे,ka hnuaiah sawi tung,Actions - Learning
0761,listen and repeat,नुं आरो दावगासे,ngai leh tung,Actions - Learning
0762,answer loudly,जोर से उत्तोर,sawi sak,Actions - Learning
0763,write neatly,सु गु खुगोन,ziak thianghlim,Actions - Learning
0764,write clearly,गोजौबार लिरगोन,ziak chiang,Actions - Learning
0765,due,गोनांथि,hun,Assessment & Grades
0766,deadline,अन्तिम बेला,hun tawp,Assessment & Grades
0767,grade,गुणमत्ता,grade,Assessment & Grades
0768,mark,निशान,mark,Assessment & Grades
0769,score,अङ्क,score,Assessment & Grades
0770,pass,सोमोन्दो,ok,Assessment & Grades
0771,fail,नाङा सोमोन्दो,lo ok,Assessment & Grades
0772,excellent,गोजौ लाफा,ṭha tak tak,Assessment & Grades
0773,good job,गोजौ गोब,hna tha,Assessment & Grades
0774,well done,बेयै गोजौ,i ṭha hle,Assessment & Grades
0775,try again,दावगासे नायदोनाय,bei tung,Assessment & Grades
0776,sentence,फारदों,sawipui,Grammar & Linguistic Terms
0777,paragraph,अनसै,chhiarphung,Grammar & Linguistic Terms
0778,vocabulary,शब्दभण्डार,vocabulary,Grammar & Linguistic Terms
0779,grammar,व्याकरण,grammar,Grammar & Linguistic Terms
0780,verb,क्रिया,verb,Grammar & Linguistic Terms
0781,noun,नाम,noun,Grammar & Linguistic Terms
0782,adjective,विशेषण,adjective,Grammar & Linguistic Terms
0783,adverb,क्रियाविशेषण,adverb,Grammar & Linguistic Terms
0784,pronoun,सर्वनाम,pronoun,Grammar & Linguistic Terms
0785,preposition,पूर्वसर्ग,preposition,Grammar & Linguistic Terms
0786,conjunction,योजक,conjunction,Grammar & Linguistic Terms
0787,article,लेख,article,Grammar & Linguistic Terms
0788,punctuation,विराम चिन्ह,punctuation,Grammar & Linguistic Terms
0789,capital letter,बड़ा अक्षर,capital,Grammar & Linguistic Terms
0790,lowercase,छोटा अक्षर,lowercase,Grammar & Linguistic Terms
0791,alphabet,वर्णमाला,alphabet,Grammar & Linguistic Terms
0792,letter,अक्षर,letter,Grammar & Linguistic Terms
0793,word,गोबाय,thilpek,Grammar & Linguistic Terms
0794,phrase,वाक्यांश,phrase,Grammar & Linguistic Terms
0795,meaning,मानथाय,awmzia,Grammar & Linguistic Terms
0796,synonym,समानार्थी,same word,Grammar & Linguistic Terms
0797,antonym,विलोम,opposite,Grammar & Linguistic Terms
0798,dictionary,शब्दकोश,dictionary,Grammar & Linguistic Terms
0799,thesaurus,पर्यायवाची कोश,synonym book,Grammar & Linguistic Terms
0800,revision,दोबारा होनना,tung zir,Study Techniques
0801,summary,सारांश,summary,Study Techniques
0802,notes,नोट,notes,Study Techniques
0803,highlight,प्रकाश,highlight,Study Techniques
0804,underline,नीचे लाइन,underline,Study Techniques
0805,circle,गोलाकार,circle,Study Techniques
0806,tick,चिन्ह,tick,Study Techniques
0807,cross,क्रॉस,cross,Study Techniques
0808,correct,गोजौ,a dik,Study Techniques
0809,incorrect,गोजौ नङा,a dik lo,Study Techniques
0810,period,बेला,hun,School Schedule
0811,break,बिरति,break,School Schedule
0812,lunch,सानाय जान,chaw ei,School Schedule
0813,assembly,समूह,assembly,School Schedule
0814,holiday,अवकाश,holiday,School Schedule
0815,vacation,छुट्टी,vacation,School Schedule
0816,timetable,बेला सूची,time table,School Schedule
0817,attendance,उपस्थिति,kal,Attendance & Registration
0818,present,आरो,awm,Attendance & Registration
0819,absent,नाङा आरो,awm lo,Attendance & Registration
0820,late,लेट,tling,Attendance & Registration
0821,leave,अवकाश,hnial,Attendance & Registration
0822,permission,अनुमति,permission,Attendance & Registration
0823,register,दर्ज,register,Attendance & Registration
0824,roll number,रोल नम्बर,roll number,Attendance & Registration
0825,ID card,पहचान पत्र,ID card,Attendance & Registration
0826,name,मुं,hming,Personal Information
0827,age,बोसोर,kum,Personal Information
0828,gender,लिङ्ग,gender,Personal Information
0829,address,ठिकाना,address,Personal Information
0830,phone,फोन,phone,Personal Information
0831,email,ईमेल,email,Personal Information
0832,guardian,संरक्षक,guardian,Personal Information
0833,parents,बाप-माय,pa-nu,Personal Information
0834,mother,माउ,nu,Personal Information
0835,father,बाबै,pa,Personal Information
0836,brother,बिसाराब,naupa,Personal Information
0837,sister,बिनाइ,thlai,Personal Information
0838,home,घर,in,Geography & Locations
0839,village,गाँव,village,Geography & Locations
0840,town,कसबा,town,Geography & Locations
0841,city,शहर,city,Geography & Locations
0842,state,राज्य,state,Geography & Locations
0843,country,देश,ram,Geography & Locations
0844,school,स्कूल,school,Geography & Locations
0845,map,नक्शा,map,Geography & Locations
0846,street,सड़क,street,Geography & Locations
0847,road,लाम,kawng,Geography & Locations
0848,market,बाजार,market,Geography & Locations
0849,shop,दुकान,shop,Geography & Locations
0850,store,स्टोर,store,Geography & Locations
0851,language,भाषा,language,Languages
0852,mother tongue,मातृ भाषा,pa language,Languages
0853,regional language,क्षेत्रीय भाषा,regional,Languages
0854,Bodo,बोडो,bodo,Languages
0855,Mizo,मिजो,mizo,Languages
0856,English,अंग्रेजी,english,Languages
0857,translate to,आव अनुवाद,translation,Languages
0858,translate from,नायनो अनुवाद,atanga translation,Languages
0859,discipline,अनुशासन,discipline,Classroom Behavior
0860,respect,आदर,respect,Classroom Behavior
0861,polite,विनम्र,polite,Classroom Behavior
0862,rude,असभ्य,rude,Classroom Behavior
0863,helpful,मददगार,helpful,Classroom Behavior
0864,cooperative,सहयोगी,cooperative,Classroom Behavior
0865,responsible,जिम्मेदार,responsible,Classroom Behavior
0866,punctual,समय पर,on time,Classroom Behavior
0867,honest,ईमानदार,honest,Classroom Behavior
0868,cheat,नकल,cheat,Classroom Behavior
0869,copy,नकल,copy,Classroom Behavior
0870,collaborate,मिलकर काम,together,Classroom Behavior
0871,share,बाँटना,share,Classroom Behavior
0872,take turns,बारी बारी,turn turn,Classroom Behavior
0873,lead,नेतृत्व,lead,Classroom Behavior
0874,follow,पालन,follow,Classroom Behavior
0875,ask permission,अनुमति माँगना,permission zawt,Classroom Behavior
0876,raise hand,हाथ उठाना,kut kalh,Classroom Behavior
0877,confidence,आत्मविश्वास,confidence,Academic Qualities
0878,participation,भागीदारी,participation,Academic Qualities
0879,talent,प्रतिभा,talent,Academic Qualities
0880,skill,कौशल,skill,Academic Qualities
0881,ability,क्षमता,ability,Academic Qualities
0882,strength,शक्ति,strength,Academic Qualities
0883,weakness,कमजोरी,weakness,Academic Qualities
0884,goal,लक्ष्य,goal,Goals & Motivation
0885,dream,सपना,dream,Goals & Motivation
0886,plan,योजना,plan,Goals & Motivation
0887,strategy,रणनीति,strategy,Goals & Motivation
0888,prepare,तैयारी,prepare,Goals & Motivation
0889,improve,सुधार,improve,Goals & Motivation
0890,achieve,प्राप्त,achieve,Goals & Motivation
0891,succeed,सफल,succeed,Goals & Motivation
0892,fail,विफल,fail,Goals & Motivation
0893,learn from mistakes,गलती सीखो,mistake learn,Goals & Motivation
0894,try again,दावगासे कोशिश,try tung,Goals & Motivation
0895,never give up,हार मत मानो,give up suh,Goals & Motivation
0896,motivation,प्रेरणा,motivation,Goals & Motivation
0897,inspiration,प्रेरणा,inspiration,Goals & Motivation
0898,role model,आदर्श,role model,Goals & Motivation
0899,the,बे,chu,Articles & Determiners
0900,a,सै,pakhat,Articles & Determiners
0901,an,सै,pakhat,Articles & Determiners
0902,this,बे,hei,Articles & Determiners
0903,these,बेफोर,heng-te,Articles & Determiners
0904,that,बा,chu,Articles & Determiners
0905,those,बाफोर,chung-te,Articles & Determiners
0906,my,आंनि,ka,Possessive Adjectives
0907,your,नंनि,i,Possessive Adjectives
0908,his,बिनि,a,Possessive Adjectives
0909,her,बिनि,a,Possessive Adjectives
0910,its,बेनि,a,Possessive Adjectives
0911,our,बेनि,kan,Possessive Adjectives
0912,their,बिफांनि,an,Possessive Adjectives
0913,I,आं,kei,Pronouns
0914,you,नं,nang,Pronouns
0915,he,बि,ama,Pronouns
0916,she,बि,ani,Pronouns
0917,we,बे,kan,Pronouns
0918,they,बिफां,anni,Pronouns
0919,me,आंनि,kei,Pronouns - Object Form
0920,him,बि,ama,Pronouns - Object Form
0921,her,बि,ani,Pronouns - Object Form
0922,us,बेनि,kan,Pronouns - Object Form
0923,them,बिफांनि,anni,Pronouns - Object Form
0924,it,बे,chu,Pronouns
0925,who,सोर,tu,Question Pronouns
0926,whom,सोर,tu,Question Pronouns
0927,whose,सोरनि,tu ta,Question Pronouns
0928,which,मो,eng nge,Question Pronouns
0929,what,मा,eng,Question Pronouns
0930,be,होयो,ni,Verb - BE
0931,am,आं दङ,ka ni,Verb - BE
0932,is,आरो,a ni,Verb - BE
0933,are,आरो,an ni,Verb - BE
0934,was,होनो,a ni ta,Verb - BE
0935,were,होनो,an ni ta,Verb - BE
0936,being,होयायनाय,ni mek,Verb - BE
0937,been,होयो,ni ta,Verb - BE
0938,have,आरो,nei,Verb - HAVE
0939,has,आरो,a nei,Verb - HAVE
0940,had,होनो आरो,a nei ta,Verb - HAVE
0941,having,आरोनाय,nei mek,Verb - HAVE
0942,do,थां,tih,Verb - DO
0943,does,थां,a tih,Verb - DO
0944,did,होनो थां,a tih ta,Verb - DO
0945,doing,थां दङ,tih mek,Verb - DO
0946,can,खांनो,thei,Modal Verbs
0947,could,खांनो होयो,thei ang,Modal Verbs
0948,will,गोनां,ang,Modal Verbs
0949,would,गोनांथि,ang,Modal Verbs
0950,shall,गोनांथि,tur,Modal Verbs
0951,should,गोनांथि,tur,Modal Verbs
0952,may,खांनो,thei,Modal Verbs
0953,might,खांनो बाहाय,thei ang,Modal Verbs
0954,must,गोनांथि,ngei tur,Modal Verbs
0955,go,होयो,kal,Common Verbs
0956,come,लाबो,lo,Common Verbs
0957,give,दों,pe rawh,Common Verbs
0958,take,खाय,lo la,Common Verbs
0959,get,मुंनो,lo,Common Verbs
0960,see,नायदोन,hmu,Common Verbs
0961,look,फाइडों,en rawh,Common Verbs
0962,know,मोजान,hrethiam,Common Verbs
0963,think,मोनो होयो,thiam,Common Verbs
0964,say,फार,sawi,Common Verbs
0965,tell,फार,sawi,Common Verbs
0966,ask,जेबो,zawt,Common Verbs
0967,make,सिर्गुन,siam,Common Verbs
0968,use,बाहाय,hman,Common Verbs
0969,find,मुंनो,hmuh,Common Verbs
0970,work,गोब थ,thawk,Common Verbs
0971,call,फारदों,ko rawh,Common Verbs
0972,try,नायदोनाय,bei,Common Verbs
0973,leave,होयो,kal,Common Verbs
0974,put,राखा,siam,Common Verbs
0975,mean,मानथाय दङ,awmzia,Common Verbs
0976,keep,राखा,dah,Common Verbs
0977,let,हायो,thei,Common Verbs
0978,begin,होनना,tan,Common Verbs
0979,help,मदद थ,tihdam rawh,Common Verbs
0980,talk,फोथाय,sawi,Common Verbs
0981,want,गोनांथि,duh,Common Verbs
0982,need,गोनांथि,mamawh,Common Verbs
0983,feel,मोनो दङ,lung,Common Verbs
0984,seem,नायदोन दङ,ngaithla,Common Verbs
0985,read,पाठ,chhiar,Classroom Verbs
0986,write,लिर,ziak,Classroom Verbs
0987,listen,नुं,ngai,Classroom Verbs
0988,speak,फोथाय,thusawi,Classroom Verbs
0989,learn,होनना,zir,Classroom Verbs
0990,study,होनना,zir,Classroom Verbs
0991,teach,उखार,zirtir hman,Classroom Verbs
0992,open,खेव,hawng rawh,Classroom Verbs
0993,close,बोन,khum rawh,Classroom Verbs
0994,sit,फुं,thu,Classroom Verbs
0995,stand,दिंना,ding,Classroom Verbs
0996,walk,जाबाय,kal,Classroom Verbs
0997,run,रेबगोन,tlan,Classroom Verbs
0998,jump,फार,zuang,Classroom Verbs
0999,draw,गोरसिन,draw,Classroom Verbs
1000,calculate,गणना,chhut,Classroom Verbs
1001,solve,सोलभ थ,chinfel rawh,Classroom Verbs
1002,explain,बुंगोन,sawifiah rawh,Classroom Verbs
1003,describe,फुलफुल गोन,hriazaih rawh,Classroom Verbs
1004,compare,बराबर गोन,zirtlai rawh,Classroom Verbs
1005,check,सायगोन,enfin rawh,Classroom Verbs
1006,in,आव,chungah,Prepositions
1007,on,आव गुबुन,chunga,Prepositions
1008,at,आव,ah,Prepositions
1009,to,आव,ah,Prepositions
1010,from,नायनो,atanga,Prepositions
1011,with,लानो,nen,Prepositions
1012,without,बानाय,telin,Prepositions
1013,by,जों,hmangin,Prepositions
1014,into,आव गोजौथिनो,chung ah,Prepositions
1015,over,मुंथाय,a chung,Prepositions
1016,under,गोजौथिनो,nuai,Prepositions
1017,between,दो आव गुबुनथाव,inkarah,Prepositions
1018,among,गुबुनसोनो,khaw chunga,Prepositions
1019,before,आगाथाव,hmain,Prepositions
1020,after,उनाव,hnua,Prepositions
1021,through,गोजौनो,chung ah,Prepositions
1022,during,बेलाथाव,hun lai,Prepositions
1023,about,मा,eng,Prepositions
1024,above,मुंथाय,a chung,Prepositions
1025,below,नामथाय,hniam,Prepositions
1026,near,गुबुनथाव,inkarah,Prepositions
1027,far,गुर मायनो,thang,Prepositions
1028,and,आरो,leh,Conjunctions
1029,or,बा,emaw,Conjunctions
1030,but,दिनाय,mahse,Conjunctions
1031,because,थांखो,chuvang,Conjunctions
1032,so,थांखो,chuvang,Conjunctions
1033,although,होयो दिनाय,mahse,Conjunctions
1034,while,बेलाथाव,hun lai,Conjunctions
1035,if,बा,chu chu,Conjunctions
1036,unless,नाङा होयो,aih lo chu chu,Conjunctions
1037,what,मा,eng,Question Words
1038,where,गान,khawi,Question Words
1039,when,मावनो,engtin,Question Words
1040,why,माबाव,engvangin,Question Words
1041,who,सोर,tu,Question Words
1042,which,मो,eng nge,Question Words
1043,how,जोबोन,engtin,Question Words
1044,whose,सोरनि,tu ta,Question Words
1045,how many,जोबोन नम्बर,engzat,Question Words
1046,how much,जोबोन सान,engzat,Question Words
1047,one,सै,khat,Numbers
1048,two,नै,pahnih,Numbers
1049,three,थाम,pathum,Numbers
1050,four,ब्राय,pali,Numbers
1051,five,बा,panga,Numbers
1052,six,रो,ruk,Numbers
1053,seven,श्नि,sarih,Numbers
1054,eight,जात,riat,Numbers
1055,nine,स्कौ,kua,Numbers
1056,ten,दस,sawm,Numbers
1057,twenty,कुइ,sawm pahnih,Numbers
1058,thirty,तिनकुइ,sawm thum,Numbers
1059,hundred,सै,za,Numbers
1060,good,गोजौ,tha,Adjectives
1061,bad,गोरलाव,tha lo,Adjectives
1062,big,गोडां,lian,Adjectives
1063,small,गिदिर,te,Adjectives
1064,new,गोनां आव,thar,Adjectives
1065,old,बो सोर,ni tang,Adjectives
1066,fast,फोरां,chak,Adjectives
1067,slow,लायो,zawi,Adjectives
1068,easy,सालां,fiam,Adjectives
1069,difficult,नाङथाइ,huna,Adjectives
1070,hot,गोलाव,lum,Adjectives
1071,cold,गान,vawt,Adjectives
1072,long,जौगा,sei,Adjectives
1073,short,थायो,tawi,Adjectives
1074,high,मुंथाइ,sang,Adjectives
1075,low,नामथाइ,hniam,Adjectives
1076,happy,गोनां,hlim,Adjectives
1077,sad,दुःख,ngai dam,Adjectives
1078,clean,सुगु,thianghlim,Adjectives
1079,dirty,मायरा,bo,Adjectives
1080,strong,गुसुम,chakawm,Adjectives
1081,weak,बोसोर,tawtchhuah,Adjectives
1082,right,गोजौ,dik,Adjectives
1083,wrong,मोनो,dik lo,Adjectives
1084,same,बे दिनाय नां,dik leiah,Adjectives
1085,different,बे दिनाय,se cia,Adjectives
1086,important,गोनां लै,pawimawh,Adjectives
1087,necessary,गोनांथि,ngai,Adjectives
1088,possible,खांनो,thei,Adjectives
1089,impossible,खांनो नाङा,thei lo,Adjectives
1090,well,गोजौबार,tha takin,Adverbs
1091,badly,गोरलावबार,dik lo takin,Adverbs
1092,quickly,थांदों,tui zet,Adverbs
1093,slowly,फेरसों,tui hle,Adverbs
1094,carefully,मोनो खालामगोन,ngaihtuah takin,Adverbs
1095,always,हमेशा,zawng zawng,Adverbs
1096,never,कभी नहीं,aih lo,Adverbs
1097,sometimes,कभी कभी,diw diw,Adverbs
1098,often,बारबार,nasa nasa,Adverbs
1099,rarely,कम,hlem,Adverbs
1100,usually,आम तौर पर,nasa zawk,Adverbs
1101,only,केवल,chauh hmain,Adverbs
1102,also,पन,leh,Adverbs
1103,together,मिलकर,khat a ni,Adverbs
1104,here,बिनिथाव,hetah,Adverbs
1105,there,अन्थाय,khatiang,Adverbs
1106,now,दानै,nisa,Adverbs
1107,then,तब,chu chu,Adverbs
1108,today,दिनै,tun ni,Adverbs
1109,tomorrow,गाबै,tukleha,Adverbs
1110,yesterday,माबै,zanin,Adverbs
1111,sentence,फारदों,sawipui,Grammar Terms
1112,paragraph,अनसै,chhiarphung,Grammar Terms
1113,word,गोबाय,thilpek,Grammar Terms
1114,phrase,फ्रेज,phrase,Grammar Terms
1115,noun,नाम,noun,Grammar Terms
1116,verb,क्रिया,verb,Grammar Terms
1117,adjective,विशेषण,adjective,Grammar Terms
1118,adverb,क्रियाविशेषण,adverb,Grammar Terms
1119,pronoun,सर्वनाम,pronoun,Grammar Terms
1120,preposition,पूर्वसर्ग,preposition,Grammar Terms
1121,conjunction,संयोजक,conjunction,Grammar Terms
1122,article,लेख,article,Grammar Terms
1123,punctuation,विराम चिह्न,punctuation,Grammar Terms
1124,capital letter,बड़ा अक्षर,capital letter,Grammar Terms
1125,lowercase,छोटा अक्षर,lowercase,Grammar Terms
1126,alphabet,वर्णमाला,alphabet,Grammar Terms
1127,meaning,मानथाय,awmzia,Grammar Terms
1128,synonym,समानार्थी,same word,Grammar Terms
1129,antonym,विलोम,opposite,Grammar Terms
1130,spelling,स्पेलिंग,spelling,Grammar Terms
1131,answer,उत्तोर,chhan,Exam Words
1132,question,फोथाय,zawhna,Exam Words
1133,homework,होमवर्क,hriselna thawn,Exam Words
1134,test,परीखा,test,Exam Words
1135,exam,पोरिखा,inkhawm thleng,Exam Words
1136,grade,गुणमत्ता,grade,Exam Words
1137,mark,निशान,mark,Exam Words
1138,score,अङ्क,score,Exam Words
1139,pass,पास,ok,Exam Words
1140,fail,फेल,lo ok,Exam Words
1141,correct,गोजौ,a dik,Exam Words
1142,incorrect,गोजौ नङा,a dik lo,Exam Words
1143,check your answer,नायनि फोरायखौ सायगोन,i chhan-te enfin rawh,Exam Words
1144,the,बे,chu,Translation
1145,a,सै,pakhat,Translation
1146,an,सै,pakhat,Translation
1147,in,आव,chungah,Translation
1148,on,आव गुबुन,chunga,Translation
1149,at,आव,ah,Translation
1150,to,आव,ah,Translation
1151,of,नि,ta,Translation
1152,from,नायनो,atanga,Translation
1153,with,लानो,nen,Translation
1154,without,बानाय,telin,Translation
1155,by,जों,hmangin,Translation
1156,into,आव गोजौथिनो,chung ah,Translation
1157,over,मुंथाय,a chung,Translation
1158,out,सोहाय,chhuak,Translation
1159,up,मुंथाय,sang,Translation
1160,down,नामथाय,hniam,Translation
1161,about,मा,eng,Translation
1162,between,दो आव गुबुनथाव,inkarah,Translation
1163,among,गुबुनसोनो,khaw chunga,Translation
1164,before,आगाथाव,hmain,Translation
1165,after,उनाव,hnua,Translation
1166,around,गुबुनथाय,pawnah,Translation
1167,outside,बोहाय,kawl tuiloh,Translation
1168,inside,आव गोजौथिनो,chung ah,Translation
1169,above,मुंथाय,a chung,Translation
1170,below,नामथाय,hniam,Translation
1171,near,गुबुनथाव,inkarah,Translation
1172,far,गुर मायनो,thang,Translation
1173,left,दिनाय,chhuk,Translation
1174,right,गोजौ,dik,Translation
1175,center,बिसार,taksa,Translation
1176,I,आं,kei,Translation
1177,you,नं,nang,Translation
1178,he,बि,ama,Translation
1179,she,बि,ani,Translation
1180,it,बे,chu,Translation
1181,we,बे,kan,Translation
1182,they,बिफां,anni,Translation
1183,me,आंनि,kei,Translation
1184,him,बि,ama,Translation
1185,her,बिनि,a,Translation
1186,us,बेनि,kan,Translation
1187,them,बिफांनि,anni,Translation
1188,my,आंनि,ka,Translation
1189,your,नंनि,i,Translation
1190,his,बिनि,a,Translation
1191,its,बेनि,a,Translation
1192,our,बेनि,kan,Translation
1193,their,बिफांनि,an,Translation
1194,who,सोर,tu,Translation
1195,what,मा,eng,Translation
1196,which,मो,eng nge,Translation
1197,whose,सोरनि,tu ta,Translation
1198,be,होयो,ni,Translation
1199,have,आरो,nei,Translation
1200,do,थां,tih,Translation
1201,go,होयो,kal,Translation
1202,come,लाबो,lo,Translation
1203,say,फार,sawi,Translation
1204,make,सिर्गुन,siam,Translation
1205,get,मुंनो,lo,Translation
1206,give,दों,pe rawh,Translation
1207,take,खाय,lo la,Translation
1208,see,नायदोन,hmu,Translation
1209,know,मोजान,hrethiam,Translation
1210,think,मोनो होयो,thiam,Translation
1211,want,गोनांथि,duh,Translation
1212,use,बाहाय,hman,Translation
1213,find,खोजो,hmuh rawh,Translation
1214,work,गोब थ,thawk,Translation
1215,call,कॉल,call,Translation
1216,try,नायदोनाय,bei,Translation
1217,leave,छुट्टी,dah,Translation
1218,put,राखा,siam,Translation
1219,mean,मानथाय दङ,awmzia,Translation
1220,keep,राखा,dah,Translation
1221,let,हायो,thei,Translation
1222,begin,होनना,tan,Translation
1223,help,मदद थ,tihdam rawh,Translation
1224,talk,फोथाय,sawi,Translation
1225,need,गोनांथि,mamawh,Translation
1226,feel,मोनो दङ,lung,Translation
1227,seem,नायदोन दङ,ngaithla,Translation
1228,read,पाठ,chhiar,Translation
1229,write,लिर,ziak,Translation
1230,listen,नुं,ngai,Translation
1231,speak,फोथाय,thusawi,Translation
1232,learn,होनना,zir,Translation
1233,study,होनना,zir,Translation
1234,teach,उखार,zirtir hman,Translation
1235,open,खुला,hawng,Translation
1236,close,बोन,khum rawh,Translation
1237,sit,फुं,thu,Translation
1238,stand,दिंना,ding,Translation
1239,walk,जाबाय,kal,Translation
1240,run,रेबगोन,tlan,Translation
1241,jump,फार,zuang,Translation
1242,raise,थोन,kalh rawh,Translation
1243,lower,नामथिनो,hniam rawh,Translation
1244,draw,गोरसिन,draw,Translation
1245,calculate,गणना करो,chhut rawh,Translation
1246,solve,हल करो,chinfel rawh,Translation
1247,explain,समझाओ,sawifiah rawh,Translation
1248,describe,वर्णन करो,hriazaih rawh,Translation
1249,compare,तुलना करो,zirtlai rawh,Translation
1250,check,सायगोन,enfin rawh,Translation
1251,translate,अनुवाद थ,translate rawh,Translation
1252,spell,स्पेलिंग थ,spell rawh,Translation
1253,pronounce,उच्चार थ,sawi dik rawh,Translation
1254,highlight,चिन्ह थ,sign rawh,Translation
1255,underline,रेखा खींचना,line rawh,Translation
1256,circle,गोल,thiangvawl,Translation
1257,tick,निशान लगाना,sign rawh,Translation
1258,cross,खींचना,kawng rawh,Translation
1259,mark,निशान लगाना,sign rawh,Translation
1260,submit,सुपुर्द करना,pe rawh,Translation
1261,lead,आगे बढना,hmun hnuai rawh,Translation
1262,follow,पीछे चलना,hnua a kal rawh,Translation
1263,share,साझा करो,sem rawh,Translation
1264,stop,रुकना,chhap rawh,Translation
1265,start,शुरू करना,tan rawh,Translation
1266,pause,रुकना,khap la rawh,Translation
1267,continue,जारी रखना,chhung zel rawh,Translation
1268,ask,पूछना,zawt rawh,Translation
1269,answer,जवाब,chhan,Translation
1270,listen carefully,ध्यान से सुनना,ngai thil takin,Translation
1271,pay attention,ध्यान देना,ngaithla rawh,Translation
1272,repeat,दोहराना,nawn rawh,Translation
1273,read aloud,जोर से पढना,chhiar rawh,Translation
1274,silent reading,चुप पढना,dâwiin chhiar rawh,Translation
1275,group work,समूह में काम,group thawk rawh,Translation
1276,pair work,जोड़ी में काम,paihra thawk rawh,Translation
1277,project work,परियोजना काम,project thawk rawh,Translation
1278,wake up,जाग जाना,tho rawh,Translation
1279,get up,उठ जाना,thawk rawh,Translation
1280,sleep,सोना,mut rawh,Translation
1281,cook,पकाना,chaw siam,Translation
1282,order,ऑर्डर,order,Translation
1283,buy,खरीदना,la,Translation
1284,sell,बेचना,thleng,Translation
1285,pay,भुगतान,sum pe,Translation
1286,download,डाउनलोड,download,Translation
1287,upload,अपलोड,upload,Translation
1288,save,सहेजो,dah rawh,Translation
1289,delete,हटाओ,tih dah rawh,Translation
1290,copy,नकल करो,copy siam rawh,Translation
1291,paste,चिपकाओ,paste siam rawh,Translation
1292,install,स्थापित,install,Translation
1293,login,लॉगिन,login,Translation
1294,logout,लॉगआउट,logout,Translation
1295,register,पंजीकरण,register,Translation
1296,schedule,समय सारणी,hun siam,Translation
1297,attend,उपस्थित होना,lo rawh,Translation
1298,arrive,आना,lo,Translation
1299,depart,जाना,kal,Translation
1300,stay,ठहरना,i,Translation
1301,visit,दौरा,en,Translation
1302,travel,यात्रा,kal lo,Translation
1303,good,गोजौ,tha,Translation
1304,bad,गोरलाव,tha lo,Translation
1305,big,गोडां,lian,Translation
1306,small,गिदिर,te,Translation
1307,new,गोनां आव,thar,Translation
1308,old,बुजुर्ग,ni tang,Translation
1309,fast,फोरां,chak,Translation
1310,slow,लायो,zawi,Translation
1311,easy,सालां,fiam,Translation
1312,difficult,नाङथाइ,huna,Translation
1313,hot,गोलाव,lum,Translation
1314,cold,गान,vawt,Translation
1315,warm,गोलाव,lum awl,Translation
1316,cool,गान,vawt awl,Translation
1317,long,जौगा,sei,Translation
1318,short,छोटा,tawi,Translation
1319,high,मुंथाइ,sang,Translation
1320,low,नामथाइ,hniam,Translation
1321,happy,गोनां,hlim,Translation
1322,sad,दुःख,ngai dam,Translation
1323,clean,सुगु,thianghlim,Translation
1324,dirty,मायरा,bo,Translation
1325,strong,गुसुम,chakawm,Translation
1326,weak,बोसोर,tawtchhuah,Translation
1327,wrong,मोनो,dik lo,Translation
1328,same,बे दिनाय नां,dik leiah,Translation
1329,different,बे दिनाय,se cia,Translation
1330,important,गोनां लै,pawimawh,Translation
1331,necessary,गोनांथि,ngai,Translation
1332,optional,इच्छानुसार,duh hmasa,Translation
1333,required,अनिवार्य,tur,Translation
1334,polite,भद्र,hlim,Translation
1335,rude,अशिष्ट,bo hlim,Translation
1336,helpful,सहायक,tihdam bik,Translation
1337,cooperative,सहयोगी,khat theuh,Translation
1338,responsible,जिम्मेदार,enkawl a tlaih,Translation
1339,punctual,समय पर,hun dik,Translation
1340,honest,सच्चा,an dik,Translation
1341,loud,ऊंचा आवाज,ko leng,Translation
1342,soft,नरम,hlim,Translation
1343,quiet,शांत,dâwiin,Translation
1344,noisy,शोरगुल,ko leng,Translation
1345,bright,उज्ज्वल,eng,Translation
1346,dark,अंधकार,dum,Translation
1347,wet,भीगा,tui kaih,Translation
1348,dry,सूखा,khup,Translation
1349,full,भरा,kumhel,Translation
1350,empty,खाली,awl ang,Translation
1351,heavy,भारी,rit,Translation
1352,light,हल्का,awlsam,Translation
1353,hard,कठोर,chi,Translation
1354,rough,खुरदुरा,sual,Translation
1355,smooth,चिकना,thianghlim,Translation
1356,sharp,तेज,chak,Translation
1357,dull,मंद,lo chak,Translation
1358,sweet,मीठा,mithei,Translation
1359,sour,खट्टा,chhe,Translation
1360,bitter,कड़वा,ka,Translation
1361,salty,नमकीन,chi,Translation
1362,spicy,तीखा,ka,Translation
1363,fresh,ताजा,thar,Translation
1364,rotten,सड़ा,thit,Translation
